Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
11/23/2024,05:00(ET),NYK@UTA,New York Knicks,"BuieIII,Boo",Out,GLeague-Two-Way Injury/Illness-LeftKnee;Patella
11/23/2024,05:00(ET),NYK@UTA,New York Knicks,"Bride,Miles",Out,FemoralSyndrome
11/23/2024,05:00(ET),NYK@UTA,New York Knicks,"McCullarJr.,Kevin",Out,GLeague-Two-Way
11/23/2024,05:00(ET),NYK@UTA,New York Knicks,"Robinson,Mitchell",Out,Injury/Illness-LeftAnkle;Surgery
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Clarkson,Jordan",Available,Injury/Illness-LeftPlantar;Fasciitis
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Filipowski,Kyle",Out,Injury/Illness-RightAnkle;Sprain
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Hendricks,Taylor",Out,Injury/Illness-RightFibula;Fracture
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Jones,David",Out,GLeague-Two-Way
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Kessler,Walker",Available,Injury/Illness-RightHip;Bursitis
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Potter,Micah",Out,GLeague-Two-Way Injury/Illness-LeftFourthFingerDip;
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Sexton,Collin",Available,Avulsionfracture
11/23/2024,05:00(ET),NYK@UTA,Utah Jazz,"Tshiebwe,Oscar",Out,GLeague-Two-Way Injury/Illness-LeftSacroiliacjoint;
11/23/2024,05:00(ET),NYK@UTA,Detroit Pistons,"Cunningham,Cade",Out,Sprain
11/23/2024,05:00(ET),NYK@UTA,Detroit Pistons,"Jenkins,Daniss",Out,GLeague-Two-Way Page1of8
11/23/2024,05:00(ET),NYK@UTA,Detroit Pistons,"Klintman,Bobi",Out,Injury/Illness-RightCalf;Contusion ReturntoCompetition
11/23/2024,05:00(ET),NYK@UTA,Detroit Pistons,"Thompson,Ausar",Questionable,Reconditioning
11/23/2024,05:00(ET),NYK@UTA,Orlando Magic,"Banchero,Paolo",Out,Injury/Illness-RightOblique;Torn Injury/Illness-LeftFoot;Plantar
11/23/2024,05:00(ET),NYK@UTA,Orlando Magic,"CarterJr.,Wendell",Out,fasciitis
11/23/2024,05:00(ET),NYK@UTA,Orlando Magic,"Clung,Mac",Out,GLeague-Two-Way
11/23/2024,05:00(ET),NYK@UTA,Orlando Magic,"Queen,Trevelin",Out,GLeague-Two-Way Injury/Illness-RightKnee;Bone
11/23/2024,05:00(ET),NYK@UTA,Charlotte Hornets,"Bridges,Miles",Out,Bruise
11/23/2024,05:00(ET),NYK@UTA,Charlotte Hornets,"Jeffries,DaQuan",Out,Injury/Illness-RightHand;Fracture
11/23/2024,05:00(ET),NYK@UTA,Charlotte Hornets,"Mann,Tre",Out,Injury/Illness-LowBack;Soreness
11/23/2024,05:00(ET),NYK@UTA,Charlotte Hornets,"Rhoden,Jared",Out,GLeague-Two-Way Injury/Illness-RightFirstRib;
11/23/2024,05:00(ET),NYK@UTA,Charlotte Hornets,"Richards,Nick",Out,Fracture
