Team,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
ATL,Trae Young,Jalen Johnson,Dyson Daniels,Zaccharie Risacher,De'Andre Hunter,Onyeka Okongwu,Clint Capela,Garrison Mathews,Bogdan Bogdanović,David Roddy,Larry Nance Jr.,Keaton Wallace,Kobe Bufkin,Vit Krejci,Mouhamed Gueye,Dominick Barlow,,,,,,,,,
BOS,Jayson Tatum,Jaylen Brown,Derrick White,Payton Pritchard,Jrue Holiday,Al Horford,Sam Hauser,Neemias Queta,Kristaps Porziņģis,Luke Kornet,Jordan Walsh,Xavier Tillman Sr.,Drew Peterson,Jaden Springer,Baylor Scheierman,JD Davison,,,,,,,,,
BRK,Cam Thomas,Cameron Johnson,Dennis Schröder,Jalen Wilson,Ziaire Williams,Dorian Finney-Smith,Nic Claxton,Keon Johnson,Shake Milton,Noah Clowney,Trendon Watford,Ben Simmons,Tyrese Martin,Dariq Whitehead,Day'Ron Sharpe,Cui Yongxi,Jaylen Martin,,,,,,,,
CHI,Nikola Vučević,Zach LaVine,Coby White,Ayo Dosunmu,Josh Giddey,Jalen Smith,Patrick Williams,Talen Horton-Tucker,Matas Buzelis,Dalen Terry,Julian Phillips,Lonzo Ball,Torrey Craig,Chris Duarte,Jevon Carter,E.J. Liddell,Adama Sanogo,,,,,,,,
CHO,LaMelo Ball,Brandon Miller,Cody Martin,Tre Mann,Miles Bridges,Grant Williams,Josh Green,Seth Curry,Tidjane Salaün,Nick Richards,Vasilije Micić,Moussa Diabaté,Nick Smith Jr.,Taj Gibson,KJ Simpson,DaQuan Jeffries,Mark Williams,Isaiah Wong,Jared Rhoden,,,,,,
CLE,Donovan Mitchell,Darius Garland,Evan Mobley,Jarrett Allen,Ty Jerome,Caris LeVert,Georges Niang,Sam Merrill,Isaac Okoro,Dean Wade,Craig Porter Jr.,Jaylon Tyson,Tristan Thompson,JT Thor,Luke Travers,,,,,,,,,,
DAL,Kyrie Irving,Luka Dončić,Daniel Gafford,Klay Thompson,P.J. Washington,Naji Marshall,Quentin Grimes,Spencer Dinwiddie,Dereck Lively II,Jaden Hardy,Dwight Powell,Maxi Kleber,Olivier-Maxence Prosper,Jazian Gortman,Brandon Williams,Markieff Morris,Kessler Edwards,,,,,,,,
DEN,Nikola Jokić,Michael Porter Jr.,Christian Braun,Jamal Murray,Russell Westbrook,Peyton Watson,Julian Strawther,Aaron Gordon,Dario Šarić,Hunter Tyson,DeAndre Jordan,Zeke Nnaji,Vlatko Čančar,Trey Alexander,PJ Hall,Spencer Jones,Jalen Pickett,,,,,,,,
DET,Cade Cunningham,Jaden Ivey,Malik Beasley,Tobias Harris,Tim Hardaway Jr.,Jalen Duren,Isaiah Stewart,Simone Fontecchio,Ron Holland,Marcus Sasser,Paul Reed,Wendell Moore Jr.,Ausar Thompson,Alondes Williams,Daniss Jenkins,Cole Swider,,,,,,,,,
