Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
1,Steven Adams,C,31,HOU,4,53,11.7,.599,.000,.889,11.5,10.4,11.0,17.8,1.9,0.0,28.5,13.6,,0.0,0.1,0.1,.075,,-1.7,1.4,-0.3,0.0,2025
2,Bam Adebayo,C,27,MIA,8,266,18.1,.464,.172,.345,10.3,19.1,14.6,17.0,3.0,3.7,5.6,23.0,,0.2,0.4,0.6,.103,,-0.5,0.3,-0.2,0.1,2025
3,Ochai Agbaji,SG,24,TOR,10,310,16.3,.676,.411,.168,4.6,12.7,8.6,9.4,2.2,1.4,7.3,14.4,,0.7,0.1,0.8,.125,,1.7,0.1,1.8,0.3,2025
4,Santi Aldama,PF,24,MEM,10,302,14.0,.545,.450,.119,5.6,21.1,13.8,15.3,0.9,1.6,11.6,17.4,,0.3,0.4,0.7,.110,,-0.3,-0.4,-0.6,0.1,2025
5,Trey Alexander,SG,21,DEN,2,6,1.4,.333,.333,.000,0.0,18.1,9.1,0.0,0.0,0.0,0.0,20.8,,0.0,0.0,0.0,-0.129,,-10.2,-5.1,-15.3,0.0,2025
6,Nickeil Alexander-Walker,SG,26,MIN,9,205,12.9,.658,.633,.265,3.0,9.7,6.5,17.0,1.7,0.8,18.0,14.1,,0.3,0.2,0.5,.124,,0.3,0.5,0.8,0.1,2025
7,Grayson Allen,SG,29,PHO,7,135,12.3,.525,.735,.245,4.3,9.2,6.9,6.4,2.6,2.6,8.4,19.6,,0.0,0.2,0.2,.064,,-1.4,0.1,-1.3,0.0,2025
8,Jarrett Allen,C,26,CLE,11,326,21.5,.684,.000,.462,8.8,33.4,21.9,7.5,1.5,4.2,11.1,16.9,,0.9,0.6,1.5,.228,,1.6,0.7,2.4,0.4,2025
9,Jose Alvarado,PG,26,NOP,10,263,15.7,.556,.583,.177,2.5,8.2,5.3,27.9,3.0,1.0,11.2,18.8,,0.4,0.1,0.5,.095,,0.6,-0.5,0.1,0.1,2025
10,Kyle Anderson,SF,31,GSW,9,147,15.9,.461,.449,.245,5.6,16.6,11.2,18.2,3.3,4.5,5.2,16.2,,0.2,0.3,0.5,.164,,-0.1,3.0,2.9,0.2,2025
11,Giannis Antetokounmpo,PF,30,MIL,8,274,29.5,.608,.025,.506,7.9,32.3,20.1,31.6,0.7,2.1,10.4,35.3,,0.8,0.3,1.1,.192,,5.8,1.0,6.9,0.6,2025
12,Cole Anthony,PG,24,ORL,8,93,6.8,.365,.485,.273,2.3,23.9,12.6,30.0,3.6,1.0,22.9,22.0,,-0.3,0.2,-0.1,-0.073,,-7.9,2.3,-5.6,-0.1,2025
