,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,33.0,74.0,0.446,10.0,33.0,0.303,26.0,31.0,0.839,7.0,36.0,43.0,20.0,7.0,3.0,18.0,17.0,102.0,,,0.582,0.514,0.446,0.419,16.7,75.0,47.8,60.6,7.2,6.5,17.0,100.0,104.4,117.7,,,7.0,14.0,1.0,3.0,7.0,0.6,10.0,11.0,1.0,2.0,11.0,12.0,7.0,2.0,1.0,4.0,4.0,22.0,21.3,4.0,1.0,1.0,1.0,1.0,8.5,33.0,19.9,44.0,28.6,7.9,34.0,77.8,230.0,127.0,MIL,102,0,1,240.0,240.0,39.0,91.0,0.429,16.0,45.0,0.356,21.0,23.0,0.913,12.0,35.0,47.0,23.0,9.0,3.0,12.0,26.0,115.0,,,0.569,0.516,0.495,0.253,25.0,83.3,52.2,59.0,9.2,7.3,10.6,100.0,117.7,104.4,,,10.0,21.0,1.0,5.0,9.0,1.0,10.0,11.0,1.0,5.0,6.0,11.0,6.0,2.0,2.0,2.0,4.0,32.0,24.9,27.0,1.5,1.5,1.0,0.533,23.0,58.1,27.1,62.6,4.0,10.7,100.0,43.2,300.0,113.0,BRK,115,1,2025,2024-10-27,False
1,240.0,240.0,39.0,91.0,0.429,16.0,45.0,0.356,21.0,23.0,0.913,12.0,35.0,47.0,23.0,9.0,3.0,12.0,26.0,115.0,,,0.569,0.516,0.495,0.253,25.0,83.3,52.2,59.0,9.2,7.3,10.6,100.0,117.7,104.4,,,10.0,21.0,1.0,5.0,9.0,1.0,10.0,11.0,1.0,5.0,6.0,11.0,6.0,2.0,2.0,2.0,4.0,32.0,24.9,27.0,1.5,1.5,1.0,0.533,23.0,58.1,27.1,62.6,4.0,10.7,100.0,43.2,300.0,113.0,BRK,115,1,0,240.0,240.0,33.0,74.0,0.446,10.0,33.0,0.303,26.0,31.0,0.839,7.0,36.0,43.0,20.0,7.0,3.0,18.0,17.0,102.0,,,0.582,0.514,0.446,0.419,16.7,75.0,47.8,60.6,7.2,6.5,17.0,100.0,104.4,117.7,,,7.0,14.0,1.0,3.0,7.0,0.6,10.0,11.0,1.0,2.0,11.0,12.0,7.0,2.0,1.0,4.0,4.0,22.0,21.3,4.0,1.0,1.0,1.0,1.0,8.5,33.0,19.9,44.0,28.6,7.9,34.0,77.8,230.0,127.0,MIL,102,0,2025,2024-10-27,True
2,240.0,240.0,42.0,90.0,0.467,10.0,32.0,0.313,18.0,23.0,0.783,14.0,34.0,48.0,27.0,11.0,2.0,18.0,21.0,112.0,,,0.559,0.522,0.356,0.256,29.8,70.8,50.5,64.3,10.8,4.4,15.2,100.0,109.8,101.9,,,10.0,19.0,0.7,3.0,12.0,1.0,9.0,9.0,1.0,6.0,12.0,18.0,11.0,4.0,1.0,5.0,4.0,23.0,23.6,20.0,0.827,0.85,0.75,0.474,16.3,32.0,24.2,43.7,6.6,3.8,26.9,31.9,142.0,109.0,LAC,112,0,1,240.0,240.0,38.0,88.0,0.432,14.0,43.0,0.326,14.0,22.0,0.636,14.0,33.0,47.0,19.0,10.0,5.0,21.0,22.0,104.0,,,0.532,0.511,0.489,0.25,29.2,70.2,49.5,50.0,9.8,8.6,17.7,100.0,101.9,109.8,,,11.0,15.0,0.733,5.0,9.0,0.625,3.0,6.0,1.0,5.0,6.0,11.0,6.0,3.0,1.0,6.0,4.0,29.0,23.3,2.0,0.888,0.9,0.8,1.0,26.5,30.5,27.7,39.6,7.0,5.2,100.0,27.1,161.0,120.0,GSW,104,1,2025,2024-10-27,True
3,240.0,240.0,38.0,88.0,0.432,14.0,43.0,0.326,14.0,22.0,0.636,14.0,33.0,47.0,19.0,10.0,5.0,21.0,22.0,104.0,,,0.532,0.511,0.489,0.25,29.2,70.2,49.5,50.0,9.8,8.6,17.7,100.0,101.9,109.8,,,11.0,15.0,0.733,5.0,9.0,0.625,3.0,6.0,1.0,5.0,6.0,11.0,6.0,3.0,1.0,6.0,4.0,29.0,23.3,2.0,0.888,0.9,0.8,1.0,26.5,30.5,27.7,39.6,7.0,5.2,100.0,27.1,161.0,120.0,GSW,104,1,0,240.0,240.0,42.0,90.0,0.467,10.0,32.0,0.313,18.0,23.0,0.783,14.0,34.0,48.0,27.0,11.0,2.0,18.0,21.0,112.0,,,0.559,0.522,0.356,0.256,29.8,70.8,50.5,64.3,10.8,4.4,15.2,100.0,109.8,101.9,,,10.0,19.0,0.7,3.0,12.0,1.0,9.0,9.0,1.0,6.0,12.0,18.0,11.0,4.0,1.0,5.0,4.0,23.0,23.6,20.0,0.827,0.85,0.75,0.474,16.3,32.0,24.2,43.7,6.6,3.8,26.9,31.9,142.0,109.0,LAC,112,0,2025,2024-10-27,False
4,265.0,265.0,42.0,98.0,0.429,11.0,42.0,0.262,23.0,31.0,0.742,20.0,34.0,54.0,15.0,9.0,4.0,20.0,26.0,118.0,,,0.528,0.485,0.429,0.316,40.0,82.9,59.3,35.7,8.3,7.7,15.2,100.0,109.4,105.6,,,14.0,32.0,1.0,5.0,17.0,1.0,12.0,15.0,1.0,5.0,12.0,17.0,4.0,2.0,2.0,5.0,5.0,45.0,27.2,17.0,1.031,1.167,0.75,0.667,30.7,41.7,26.6,29.2,2.9,4.3,38.3,36.7,208.0,112.0,PHI,118,0,1,265.0,265.0,39.0,84.0,0.464,13.0,32.0,0.406,23.0,34.0,0.676,7.0,30.0,37.0,28.0,8.0,4.0,20.0,26.0,114.0,,,0.576,0.542,0.381,0.405,17.1,60.0,40.7,71.8,7.4,7.1,16.8,100.0,105.6,109.4,,,8.0,18.0,1.0,4.0,9.0,1.0,6.0,8.0,1.0,2.0,6.0,7.0,8.0,4.0,1.0,6.0,6.0,22.0,16.3,14.0,1.042,1.0,0.667,1.25,12.1,24.7,14.3,39.8,5.3,16.5,50.0,27.7,222.0,117.0,IND,114,1,2025,2024-10-27,True
5,265.0,265.0,39.0,84.0,0.464,13.0,32.0,0.406,23.0,34.0,0.676,7.0,30.0,37.0,28.0,8.0,4.0,20.0,26.0,114.0,,,0.576,0.542,0.381,0.405,17.1,60.0,40.7,71.8,7.4,7.1,16.8,100.0,105.6,109.4,,,8.0,18.0,1.0,4.0,9.0,1.0,6.0,8.0,1.0,2.0,6.0,7.0,8.0,4.0,1.0,6.0,6.0,22.0,16.3,14.0,1.042,1.0,0.667,1.25,12.1,24.7,14.3,39.8,5.3,16.5,50.0,27.7,222.0,117.0,IND,114,1,0,265.0,265.0,42.0,98.0,0.429,11.0,42.0,0.262,23.0,31.0,0.742,20.0,34.0,54.0,15.0,9.0,4.0,20.0,26.0,118.0,,,0.528,0.485,0.429,0.316,40.0,82.9,59.3,35.7,8.3,7.7,15.2,100.0,109.4,105.6,,,14.0,32.0,1.0,5.0,17.0,1.0,12.0,15.0,1.0,5.0,12.0,17.0,4.0,2.0,2.0,5.0,5.0,45.0,27.2,17.0,1.031,1.167,0.75,0.667,30.7,41.7,26.6,29.2,2.9,4.3,38.3,36.7,208.0,112.0,PHI,118,0,2025,2024-10-27,False
6,240.0,240.0,36.0,91.0,0.396,10.0,31.0,0.323,22.0,29.0,0.759,17.0,32.0,49.0,24.0,7.0,4.0,20.0,23.0,104.0,,,0.501,0.451,0.341,0.319,33.3,74.4,52.1,66.7,6.9,8.2,16.2,100.0,102.7,126.4,,,7.0,14.0,0.8,4.0,8.0,1.0,8.0,9.0,1.0,5.0,8.0,10.0,8.0,2.0,1.0,10.0,5.0,24.0,11.7,-1.0,0.791,0.9,0.889,2.0,21.8,36.6,23.7,38.5,4.4,4.5,36.3,28.8,168.0,135.0,ATL,104,0,1,240.0,240.0,44.0,89.0,0.494,16.0,40.0,0.4,24.0,32.0,0.75,11.0,34.0,45.0,26.0,13.0,12.0,10.0,23.0,128.0,,,0.621,0.584,0.449,0.36,25.6,66.7,47.9,59.1,12.8,20.0,8.8,100.0,126.4,102.7,,,11.0,24.0,1.0,4.0,8.0,1.0,10.0,11.0,1.0,2.0,9.0,11.0,9.0,3.0,6.0,3.0,5.0,35.0,35.5,24.0,1.5,1.5,1.0,0.667,59.3,50.0,27.1,40.9,6.7,14.4,36.8,45.1,300.0,117.0,OKC,128,1,2025,2024-10-27,False
7,240.0,240.0,44.0,89.0,0.494,16.0,40.0,0.4,24.0,32.0,0.75,11.0,34.0,45.0,26.0,13.0,12.0,10.0,23.0,128.0,,,0.621,0.584,0.449,0.36,25.6,66.7,47.9,59.1,12.8,20.0,8.8,100.0,126.4,102.7,,,11.0,24.0,1.0,4.0,8.0,1.0,10.0,11.0,1.0,2.0,9.0,11.0,9.0,3.0,6.0,3.0,5.0,35.0,35.5,24.0,1.5,1.5,1.0,0.667,59.3,50.0,27.1,40.9,6.7,14.4,36.8,45.1,300.0,117.0,OKC,128,1,0,240.0,240.0,36.0,91.0,0.396,10.0,31.0,0.323,22.0,29.0,0.759,17.0,32.0,49.0,24.0,7.0,4.0,20.0,23.0,104.0,,,0.501,0.451,0.341,0.319,33.3,74.4,52.1,66.7,6.9,8.2,16.2,100.0,102.7,126.4,,,7.0,14.0,0.8,4.0,8.0,1.0,8.0,9.0,1.0,5.0,8.0,10.0,8.0,2.0,1.0,10.0,5.0,24.0,11.7,-1.0,0.791,0.9,0.889,2.0,21.8,36.6,23.7,38.5,4.4,4.5,36.3,28.8,168.0,135.0,ATL,104,0,2025,2024-10-27,True
8,240.0,240.0,38.0,88.0,0.432,8.0,29.0,0.276,19.0,24.0,0.792,15.0,24.0,39.0,24.0,9.0,8.0,17.0,22.0,103.0,,,0.523,0.477,0.33,0.273,34.1,52.2,43.3,63.2,9.3,13.8,14.7,100.0,107.0,129.8,,,10.0,21.0,1.0,3.0,10.0,0.5,8.0,10.0,1.0,3.0,7.0,8.0,6.0,4.0,2.0,3.0,5.0,27.0,19.0,6.0,1.0,1.0,0.8,0.833,58.7,28.1,43.0,35.0,5.6,10.7,66.7,33.5,194.0,141.0,NOP,103,0,1,240.0,240.0,43.0,93.0,0.462,14.0,35.0,0.4,25.0,32.0,0.781,22.0,29.0,51.0,25.0,9.0,8.0,16.0,21.0,125.0,,,0.584,0.538,0.376,0.344,47.8,65.9,56.7,58.1,9.3,13.6,13.0,100.0,129.8,107.0,,,9.0,17.0,0.778,5.0,10.0,1.0,8.0,12.0,1.0,6.0,6.0,12.0,7.0,2.0,4.0,4.0,4.0,28.0,23.1,25.0,0.86,0.833,0.667,0.706,47.6,31.5,36.5,32.2,26.8,12.4,100.0,34.5,233.0,118.0,POR,125,1,2025,2024-10-27,False
9,240.0,240.0,43.0,93.0,0.462,14.0,35.0,0.4,25.0,32.0,0.781,22.0,29.0,51.0,25.0,9.0,8.0,16.0,21.0,125.0,,,0.584,0.538,0.376,0.344,47.8,65.9,56.7,58.1,9.3,13.6,13.0,100.0,129.8,107.0,,,9.0,17.0,0.778,5.0,10.0,1.0,8.0,12.0,1.0,6.0,6.0,12.0,7.0,2.0,4.0,4.0,4.0,28.0,23.1,25.0,0.86,0.833,0.667,0.706,47.6,31.5,36.5,32.2,26.8,12.4,100.0,34.5,233.0,118.0,POR,125,1,0,240.0,240.0,38.0,88.0,0.432,8.0,29.0,0.276,19.0,24.0,0.792,15.0,24.0,39.0,24.0,9.0,8.0,17.0,22.0,103.0,,,0.523,0.477,0.33,0.273,34.1,52.2,43.3,63.2,9.3,13.8,14.7,100.0,107.0,129.8,,,10.0,21.0,1.0,3.0,10.0,0.5,8.0,10.0,1.0,3.0,7.0,8.0,6.0,4.0,2.0,3.0,5.0,27.0,19.0,6.0,1.0,1.0,0.8,0.833,58.7,28.1,43.0,35.0,5.6,10.7,66.7,33.5,194.0,141.0,NOP,103,0,2025,2024-10-27,True
