,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
0,PHI,2023,Tyrese Maxey,James Harden,Joel Embiid,Tobias Harris,P.J. Tucker,De'Anthony Melton,Danuel House Jr.,Georges Niang,Montrezl Harrell,,,,,,
1,BOS,2023,Jayson Tatum,Jaylen Brown,Marcus Smart,Derrick White,Al Horford,Grant Williams,Malcolm Brogdon,Noah Vonleh,Blake Griffin,Sam Hauser,,,,,
2,LAL,2023,Anthony Davis,LeBron James,Russell Westbrook,Lonnie Walker IV,Patrick Beverley,Kendrick Nunn,Matt Ryan,Austin Reaves,Juan Toscano-Anderson,Wenyen Gabriel,Max Christie,Scotty Pippen Jr.,Cole Swider,,
3,GSW,2023,Stephen Curry,Andrew Wiggins,Draymond Green,Kevon Looney,Klay Thompson,Jordan Poole,JaMychal Green,Donte DiVincenzo,James Wiseman,Jonathan Kuminga,Moses Moody,Ryan Rollins,,,
4,HOU,2023,Kevin Porter Jr.,Jabari Smith Jr.,Jalen Green,Eric Gordon,Bruno Fernando,Kenyon Martin Jr.,Alperen Şengün,Tari Eason,Garrison Mathews,Josh Christopher,,,,,
5,ATL,2023,Dejounte Murray,Trae Young,John Collins,De'Andre Hunter,Clint Capela,Onyeka Okongwu,Justin Holiday,Aaron Holiday,Jalen Johnson,,,,,,
6,NOP,2023,CJ McCollum,Brandon Ingram,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Trey Murphy III,Larry Nance Jr.,Jose Alvarado,Devonte' Graham,Naji Marshall,Dyson Daniels,,,,
7,BRK,2023,Kyrie Irving,Royce O'Neale,Kevin Durant,Nic Claxton,Ben Simmons,Patty Mills,Day'Ron Sharpe,Edmond Sumner,Cam Thomas,Yuta Watanabe,Kessler Edwards,Markieff Morris,,,
8,ORL,2023,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Terrence Ross,Jalen Suggs,Caleb Houstan,Chuma Okeke,Bol Bol,Mo Bamba,R.J. Hampton,,,,,
9,DET,2023,Cade Cunningham,Bojan Bogdanović,Jaden Ivey,Saddiq Bey,Isaiah Stewart,Jalen Duren,Killian Hayes,Cory Joseph,Hamidou Diallo,Kevin Knox,,,,,
10,WAS,2023,Bradley Beal,Kyle Kuzma,Kristaps Porziņģis,Monte Morris,Deni Avdija,Delon Wright,Will Barton,Rui Hachimura,Daniel Gafford,Anthony Gill,,,,,
11,IND,2023,Tyrese Haliburton,Buddy Hield,Terry Taylor,Jalen Smith,Chris Duarte,Bennedict Mathurin,Aaron Nesmith,T.J. McConnell,Isaiah Jackson,Oshae Brissett,Goga Bitadze,,,,
12,NYK,2023,RJ Barrett,Jalen Brunson,Julius Randle,Evan Fournier,Mitchell Robinson,Isaiah Hartenstein,Cam Reddish,Immanuel Quickley,Obi Toppin,Derrick Rose,,,,,
13,MEM,2023,Santi Aldama,Ja Morant,Desmond Bane,John Konchar,Steven Adams,Tyus Jones,Brandon Clarke,Xavier Tillman Sr.,David Roddy,Jake LaRavia,,,,,
14,CHI,2023,Ayo Dosunmu,DeMar DeRozan,Nikola Vučević,Alex Caruso,Patrick Williams,Coby White,Goran Dragić,Javonte Green,Andre Drummond,,,,,,
15,MIA,2023,Jimmy Butler,Kyle Lowry,Tyler Herro,Bam Adebayo,Caleb Martin,Max Strus,Gabe Vincent,Dewayne Dedmon,Duncan Robinson,,,,,,
16,OKC,2023,Shai Gilgeous-Alexander,Josh Giddey,Luguentz Dort,Aleksej Pokusevski,Kenrich Williams,Tre Mann,Darius Bazley,Eugene Omoruyi,Jeremiah Robinson-Earl,Ousmane Dieng,Mike Muscala,Jalen Williams,,,
17,MIN,2023,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Anthony Edwards,Kyle Anderson,Jaylen Nowell,Taurean Prince,Jordan McLaughlin,Bryn Forbes,,,,,
18,DAL,2023,Dorian Finney-Smith,Luka Dončić,Reggie Bullock,Spencer Dinwiddie,JaVale McGee,Maxi Kleber,Tim Hardaway Jr.,Christian Wood,Josh Green,,,,,,
19,PHO,2023,Mikal Bridges,Devin Booker,Deandre Ayton,Chris Paul,Cameron Johnson,Damion Lee,Cameron Payne,Jock Landale,Torrey Craig,Bismack Biyombo,Josh Okogie,Dario Šarić,,,
20,POR,2023,Josh Hart,Damian Lillard,Anfernee Simons,Jerami Grant,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Drew Eubanks,Nassir Little,,,,,,
21,SAC,2023,De'Aaron Fox,Domantas Sabonis,Harrison Barnes,Kevin Huerter,KZ Okpala,Davion Mitchell,Terence Davis,Malik Monk,Trey Lyles,Richaun Holmes,,,,,
22,CHO,2023,P.J. Washington,Terry Rozier,Gordon Hayward,Kelly Oubre Jr.,Mason Plumlee,Jalen McDaniels,Nick Richards,Dennis Smith Jr.,James Bouknight,JT Thor,Kai Jones,Théo Maledon,Mark Williams,Bryce McGowens,
23,SAS,2023,Keldon Johnson,Devin Vassell,Jeremy Sochan,Jakob Poeltl,Tre Jones,Joshua Primo,Josh Richardson,Doug McDermott,Zach Collins,Gorgui Dieng,Isaiah Roby,Romeo Langford,Keita Bates-Diop,,
24,CLE,2023,Evan Mobley,Caris LeVert,Donovan Mitchell,Jarrett Allen,Darius Garland,Cedi Osman,Dean Wade,Kevin Love,Isaac Okoro,Raul Neto,,,,,
