,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
0,LAL,2024,D'Angelo Russell,Anthony Davis,Austin Reaves,Taurean Prince,LeBron James,Gabe Vincent,Cam Reddish,Christian Wood,Rui Hachimura,Jaxson Hayes,Max Christie,Maxwell Lewis,,,
1,DEN,2024,Nikola Jokić,Kentavious Caldwell-Pope,Aaron Gordon,Jamal Murray,Michael Porter Jr.,Reggie Jackson,Christian Braun,Zeke Nnaji,Peyton Watson,,,,,,
2,PHO,2024,Devin Booker,Kevin Durant,Josh Okogie,Jusuf Nurkić,Grayson Allen,Eric Gordon,Drew Eubanks,Yuta Watanabe,Jordan Goodwin,Nassir Little,,,,,
3,GSW,2024,Klay Thompson,Chris Paul,Stephen Curry,Kevon Looney,Andrew Wiggins,Gary Payton II,Jonathan Kuminga,Dario Šarić,Moses Moody,Cory Joseph,,,,,
4,CLE,2024,Max Strus,Donovan Mitchell,Evan Mobley,Darius Garland,Isaac Okoro,Caris LeVert,Georges Niang,Damian Jones,Ty Jerome,,,,,,
5,BRK,2024,Mikal Bridges,Nic Claxton,Cameron Johnson,Spencer Dinwiddie,Ben Simmons,Dorian Finney-Smith,Cam Thomas,Royce O'Neale,Dennis Smith Jr.,Day'Ron Sharpe,,,,,
6,OKC,2024,Shai Gilgeous-Alexander,Luguentz Dort,Jalen Williams,Josh Giddey,Chet Holmgren,Isaiah Joe,Cason Wallace,Ousmane Dieng,Aaron Wiggins,Olivier Sarr,Lindy Waters III,Tre Mann,Aleksej Pokusevski,,
7,CHI,2024,DeMar DeRozan,Nikola Vučević,Coby White,Patrick Williams,Zach LaVine,Torrey Craig,Alex Caruso,Andre Drummond,Jevon Carter,Ayo Dosunmu,Julian Phillips,Dalen Terry,,,
8,ATL,2024,Trae Young,Dejounte Murray,De'Andre Hunter,Saddiq Bey,Clint Capela,Jalen Johnson,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,,,,,,
9,CHO,2024,Terry Rozier,Gordon Hayward,P.J. Washington,LaMelo Ball,Mark Williams,Brandon Miller,JT Thor,Nick Richards,Théo Maledon,,,,,,
10,WAS,2024,Tyus Jones,Jordan Poole,Kyle Kuzma,Daniel Gafford,Deni Avdija,Delon Wright,Corey Kispert,Bilal Coulibaly,Danilo Gallinari,Mike Muscala,Eugene Omoruyi,Ryan Rollins,Jared Butler,Patrick Baldwin Jr.,
11,IND,2024,Bruce Brown,Tyrese Haliburton,Bennedict Mathurin,Myles Turner,Obi Toppin,Buddy Hield,Aaron Nesmith,Andrew Nembhard,Jalen Smith,Isaiah Jackson,T.J. McConnell,Jordan Nwora,Ben Sheppard,Jarace Walker,
12,POR,2024,Scoot Henderson,Jerami Grant,Anfernee Simons,Deandre Ayton,Matisse Thybulle,Shaedon Sharpe,Robert Williams,Malcolm Brogdon,Toumani Camara,Jabari Walker,Kris Murray,Rayan Rupert,,,
13,LAC,2024,Paul George,Russell Westbrook,Kawhi Leonard,Ivica Zubac,Robert Covington,Norman Powell,Bones Hyland,Mason Plumlee,KJ Martin,Nicolas Batum,Kobe Brown,Moussa Diabaté,Amir Coffey,Jordan Miller,
14,NOP,2024,Herbert Jones,CJ McCollum,Brandon Ingram,Zion Williamson,Jonas Valančiūnas,Dyson Daniels,Larry Nance Jr.,Matt Ryan,Kira Lewis Jr.,Jordan Hawkins,,,,,
15,MEM,2024,Desmond Bane,Jaren Jackson Jr.,Xavier Tillman Sr.,Marcus Smart,Ziaire Williams,David Roddy,Derrick Rose,Luke Kennard,Jake LaRavia,,,,,,
16,DET,2024,Cade Cunningham,Isaiah Stewart,Jalen Duren,Killian Hayes,Ausar Thompson,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
17,MIA,2024,Tyler Herro,Jimmy Butler,Bam Adebayo,Kyle Lowry,Kevin Love,Duncan Robinson,Caleb Martin,Thomas Bryant,Jaime Jaquez Jr.,Dru Smith,,,,,
18,BOS,2024,Jayson Tatum,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Derrick White,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,,,,,,
19,NYK,2024,RJ Barrett,Julius Randle,Jalen Brunson,Quentin Grimes,Mitchell Robinson,Immanuel Quickley,Isaiah Hartenstein,Josh Hart,Donte DiVincenzo,,,,,,
20,HOU,2024,Fred VanVleet,Jalen Green,Alperen Şengün,Jabari Smith Jr.,Dillon Brooks,Amen Thompson,Jae'Sean Tate,Jeff Green,Reggie Bullock,Cam Whitmore,Jock Landale,Jermaine Samuels,Jeenathan Williams,Aaron Holiday,
21,ORL,2024,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Markelle Fultz,Jalen Suggs,Cole Anthony,Joe Ingles,Gary Harris,Moritz Wagner,Jonathan Isaac,Goga Bitadze,Anthony Black,Caleb Houstan,Jett Howard,Chuma Okeke
22,DAL,2024,Kyrie Irving,Grant Williams,Luka Dončić,Maxi Kleber,Derrick Jones Jr.,Dereck Lively II,Josh Green,Tim Hardaway Jr.,Dante Exum,Seth Curry,,,,,
