,Team,Season Year,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
0,NYK,2025,Mikal Bridges,OG Anunoby,Jalen Brunson,Josh Hart,Karl-Anthony Towns,Miles McBride,Jericho Sims,Cameron Payne,Pacome Dadiet,Ariel Hukporti,Tyler Kolek,Jacob Toppin,,,
1,BOS,2025,Jrue Holiday,Jayson Tatum,Jaylen Brown,Derrick White,Al Horford,Payton Pritchard,Sam Hauser,Luke Kornet,Xavier Tillman Sr.,Jordan Walsh,Neemias Queta,,,,
2,MIN,2025,Anthony Edwards,Rudy Gobert,Julius Randle,Mike Conley,Jaden McDaniels,Donte DiVincenzo,Nickeil Alexander-Walker,Naz Reid,Joe Ingles,,,,,,
3,LAL,2025,Anthony Davis,Austin Reaves,Rui Hachimura,LeBron James,D'Angelo Russell,Gabe Vincent,Dalton Knecht,Jaxson Hayes,Max Christie,Bronny James,,,,,
4,BRK,2025,Dennis Schröder,Cam Thomas,Cameron Johnson,Dorian Finney-Smith,Ben Simmons,Jalen Wilson,Ziaire Williams,Nic Claxton,Noah Clowney,Shake Milton,,,,,
5,ATL,2025,Jalen Johnson,Trae Young,Dyson Daniels,De'Andre Hunter,Clint Capela,Onyeka Okongwu,Bogdan Bogdanović,Zaccharie Risacher,Vit Krejci,,,,,,
6,IND,2025,Myles Turner,Tyrese Haliburton,Andrew Nembhard,Pascal Siakam,Aaron Nesmith,Bennedict Mathurin,Obi Toppin,T.J. McConnell,Enrique Freeman,Jarace Walker,Ben Sheppard,James Wiseman,,,
7,DET,2025,Cade Cunningham,Tobias Harris,Jaden Ivey,Jalen Duren,Tim Hardaway Jr.,Malik Beasley,Isaiah Stewart,Ron Holland,Simone Fontecchio,Marcus Sasser,,,,,
8,CHO,2025,LaMelo Ball,Miles Bridges,Nick Richards,Cody Martin,Brandon Miller,Tre Mann,Seth Curry,Grant Williams,Vasilije Micić,Moussa Diabaté,,,,,
9,HOU,2025,Fred VanVleet,Jalen Green,Alperen Sengun,Jabari Smith Jr.,Dillon Brooks,Amen Thompson,Reed Sheppard,Tari Eason,Jock Landale,Cam Whitmore,,,,,
10,PHO,2025,Kevin Durant,Bradley Beal,Tyus Jones,Devin Booker,Jusuf Nurkić,Royce O'Neale,Grayson Allen,Mason Plumlee,Monte Morris,Oso Ighodaro,Ryan Dunn,,,,
11,LAC,2025,James Harden,Norman Powell,Ivica Zubac,Derrick Jones Jr.,Terance Mann,Amir Coffey,Nicolas Batum,Kris Dunn,Kai Jones,Kevin Porter Jr.,,,,,
12,ORL,2025,Paolo Banchero,Wendell Carter Jr.,Kentavious Caldwell-Pope,Franz Wagner,Jalen Suggs,Anthony Black,Gary Harris,Cole Anthony,Moritz Wagner,Jonathan Isaac,Goga Bitadze,Tristan Da Silva,Caleb Houstan,Jett Howard,Cory Joseph
13,MIA,2025,Terry Rozier,Tyler Herro,Jimmy Butler,Bam Adebayo,Nikola Jović,Haywood Highsmith,Duncan Robinson,Jaime Jaquez Jr.,Thomas Bryant,Pelle Larsson,Dru Smith,Kel'el Ware,,,
14,CHI,2025,Zach LaVine,Coby White,Nikola Vučević,Josh Giddey,Patrick Williams,Ayo Dosunmu,Jalen Smith,Lonzo Ball,Julian Phillips,Talen Horton-Tucker,Matas Buzelis,Chris Duarte,Dalen Terry,,
15,NOP,2025,Herbert Jones,Brandon Ingram,Dejounte Murray,CJ McCollum,Daniel Theis,Jordan Hawkins,Javonte Green,Yves Missi,Jose Alvarado,Jeremiah Robinson-Earl,Karlo Matković,Antonio Reeves,,,
16,MIL,2025,Damian Lillard,Brook Lopez,Gary Trent Jr.,Giannis Antetokounmpo,Taurean Prince,Bobby Portis,Pat Connaughton,Delon Wright,A.J. Green,Tyler Smith,Andre Jackson Jr.,AJ Johnson,Ryan Rollins,,
17,PHI,2025,Tyrese Maxey,Kelly Oubre Jr.,Andre Drummond,Eric Gordon,KJ Martin,Caleb Martin,Guerschon Yabusele,Kyle Lowry,Ricky Council IV,Jared McCain,Adem Bona,Jeff Dowtin,Lester Quiñones,,
18,GSW,2025,Stephen Curry,Trayce Jackson-Davis,Andrew Wiggins,Draymond Green,Jonathan Kuminga,Brandin Podziemski,De'Anthony Melton,Moses Moody,Kyle Anderson,Buddy Hield,Gary Payton II,Kevon Looney,Lindy Waters III,Gui Santos,
