Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
1,Bam Adebayo,C,27,MIA,2,58,11.2,.391,.182,.500,12.6,15.7,14.2,11.0,0.9,1.7,3.6,21.1,,0.0,0.0,0.0,.014,,-5.0,-4.7,-9.7,-0.1,2025
2,Ochai Agbaji,SG,24,TOR,3,82,16.4,.702,.273,.227,10.1,13.1,11.6,8.0,2.9,1.2,17.1,14.4,,0.1,0.0,0.2,.094,,0.4,-0.7,-0.3,0.0,2025
3,Santi Aldama,PF,24,MEM,3,81,21.6,.803,.567,.133,2.6,18.8,10.8,19.1,0.0,3.5,15.9,18.7,,0.2,0.0,0.3,.175,,5.1,-1.0,4.1,0.1,2025
4,Trey Alexander,SG,21,DEN,1,2,6.4,,,,0.0,52.7,25.7,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.099,,-11.0,0.5,-10.5,0.0,2025
5,Nickeil Alexander-Walker,SG,26,MIN,3,63,16.1,.857,.714,.286,3.6,8.5,6.2,14.5,0.0,0.0,16.0,13.0,,0.2,0.0,0.2,.176,,3.8,-0.8,3.0,0.1,2025
6,Grayson Allen,SG,29,PHO,1,21,11.5,.508,.857,.286,0.0,5.1,2.8,20.9,2.3,4.4,11.3,19.2,,0.0,0.0,0.0,.066,,-0.3,-0.1,-0.4,0.0,2025
7,Jarrett Allen,C,26,CLE,3,82,31.6,.858,.000,.708,4.8,25.3,16.2,6.7,1.7,7.8,6.0,17.5,,0.5,0.2,0.7,.388,,6.1,1.6,7.7,0.2,2025
8,Jose Alvarado,PG,26,NOP,2,26,5.0,.375,.750,.000,0.0,4.2,2.0,33.4,7.0,0.0,50.0,12.7,,-0.1,0.1,0.0,.007,,-10.9,3.9,-7.0,0.0,2025
9,Kyle Anderson,SF,31,GSW,2,34,21.0,.500,.556,.000,15.0,15.4,15.2,19.3,5.3,2.6,10.0,11.4,,0.1,0.1,0.2,.345,,2.2,4.9,7.1,0.1,2025
10,Giannis Antetokounmpo,PF,30,MIL,2,66,31.6,.655,.029,.941,3.4,32.5,19.3,31.4,0.0,1.3,11.1,34.7,,0.3,0.1,0.3,.252,,4.5,0.0,4.6,0.1,2025
11,Cole Anthony,PG,24,ORL,3,45,3.1,.288,.615,.154,0.0,10.2,5.0,29.8,4.3,0.0,26.5,17.7,,-0.1,0.1,-0.1,-0.071,,-11.1,-0.6,-11.7,-0.1,2025
12,OG Anunoby,SF,27,NYK,2,68,7.1,.434,.421,.211,0.0,15.7,8.5,7.3,1.5,0.0,4.6,14.9,,0.0,0.0,0.0,-0.031,,-6.2,-1.6,-7.8,-0.1,2025
13,Deni Avdija,SF,24,POR,2,58,9.0,.377,.316,.421,5.1,17.8,11.3,20.5,2.4,6.7,21.0,19.5,,-0.2,0.1,-0.1,-0.087,,-4.1,-0.4,-4.5,0.0,2025
14,Deandre Ayton,C,26,POR,2,64,9.7,.378,.077,.038,6.1,35.5,20.4,10.3,1.4,3.0,7.0,17.6,,-0.1,0.1,0.0,-0.034,,-4.1,-2.2,-6.4,-0.1,2025
15,Marvin Bagley III,PF,25,WAS,2,19,30.6,.564,.250,.583,34.7,31.2,33.1,10.6,0.0,5.4,16.6,37.6,,0.0,0.0,0.0,.063,,4.9,-4.8,0.1,0.0,2025
16,Patrick Baldwin Jr.,SF,22,WAS,2,13,22.2,.563,.375,.000,7.2,27.4,16.1,15.2,0.0,7.9,0.0,24.3,,0.0,0.0,0.0,.099,,2.8,0.1,3.0,0.0,2025
