Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
11/26/2024,07:00(ET),CHI@WAS,Chicago Bulls,"Tucker,Talen",Available,-
11/26/2024,07:00(ET),CHI@WAS,Chicago Bulls,"Phillips,Julian",Available,-
11/26/2024,07:00(ET),CHI@WAS,Chicago Bulls,"Sanogo,Adama",Out,Injury/Illness-RightKnee;Effusion
11/26/2024,07:00(ET),CHI@WAS,Chicago Bulls,"Steward,DJ",Out,GLeague-Two-Way Injury/Illness-LeftFoot;Injury
11/26/2024,07:00(ET),CHI@WAS,Chicago Bulls,"Williams,Patrick",Out,Management
11/26/2024,07:00(ET),CHI@WAS,Washington Wizards,"Bey,Saddiq",Out,Injury/Illness-LeftKnee;ACLSurgery
11/26/2024,07:00(ET),CHI@WAS,Washington Wizards,"Champagnie,Justin",Out,GLeague-Two-Way Injury/Illness-LeftHipFlexor;
11/26/2024,07:00(ET),CHI@WAS,Washington Wizards,"Poole,Jordan",Out,Soreness
11/26/2024,07:00(ET),CHI@WAS,Washington Wizards,"Vukcevic,Tristan",Out,Injury/Illness-LeftKnee;Contusion
11/26/2024,07:00(ET),CHI@WAS,Milwaukee Bucks,"Antetokounmpo,Giannis",Out,Injury/Illness-LeftKnee;Effusion Injury/Illness-LeftHamstring;
11/26/2024,07:00(ET),CHI@WAS,Milwaukee Bucks,"Beauchamp,MarJon",Available,Tendinopathy Injury/Illness-LeftAchilles;
11/26/2024,07:00(ET),CHI@WAS,Milwaukee Bucks,"Johnson,AJ",Available,Tendinitis Injury/Illness-BilateralAnkle;
11/26/2024,07:00(ET),CHI@WAS,Milwaukee Bucks,"Middleton,Khris",Out,Surgery Page1of11
11/26/2024,07:00(ET),CHI@WAS,Milwaukee Bucks,"Prince,Taurean",Available,Injury/Illness-Non-covid;Illness
11/26/2024,07:00(ET),CHI@WAS,Milwaukee Bucks,"Smith,Tyler",Out,Injury/Illness-Non-covid;Illness
11/26/2024,07:00(ET),CHI@WAS,Miami Heat,"Christopher,Josh",Out,GLeague-Two-Way
11/26/2024,07:00(ET),CHI@WAS,Miami Heat,"Highsmith,Haywood",Available,Injury/Illness-Jaw;Contusion
11/26/2024,07:00(ET),CHI@WAS,Miami Heat,"Jovic,Nikola",Available,Injury/Illness-Nasal;Fracture
11/26/2024,07:00(ET),CHI@WAS,Miami Heat,"Rozier,Terry",Available,Injury/Illness-RightFoot;Neuroma Injury/Illness-RightKnee;Bone
11/26/2024,07:00(ET),CHI@WAS,Miami Heat,"Smith,Dru",Out,Bruise Injury/Illness-RightKnee;Injury
11/26/2024,07:00(ET),CHI@WAS,Houston Rockets,"Adams,Steven",Out,Recovery
11/26/2024,07:00(ET),CHI@WAS,Houston Rockets,"Dante,N'Faly",Out,GLeague-Two-Way
11/26/2024,07:00(ET),CHI@WAS,Houston Rockets,"Green,Jalen",Available,Injury/Illness-N/a;Illness
11/26/2024,07:00(ET),CHI@WAS,Houston Rockets,"Whitmore,Cam",Out,GLeague-OnAssignment
11/26/2024,07:00(ET),CHI@WAS,Houston Rockets,"Williams,Nate",Out,GLeague-Two-Way
11/26/2024,07:00(ET),CHI@WAS,Minnesota Timberwolves,"Conley,Mike",Out,Injury/Illness-LeftGreatToe;Sprain
11/26/2024,07:00(ET),CHI@WAS,Minnesota Timberwolves,"Ingles,Joe",Out,Injury/Illness-LeftSoleus;Strain
11/26/2024,07:00(ET),CHI@WAS,San Antonio Spurs,"DukeJr.,David",Out,GLeague-Two-Way
11/26/2024,07:00(ET),CHI@WAS,San Antonio Spurs,"Ingram,Harrison",Out,GLeague-Two-Way
11/26/2024,07:00(ET),CHI@WAS,San Antonio Spurs,"Johnson,Keldon",Available,-
11/26/2024,07:00(ET),CHI@WAS,San Antonio Spurs,"Minix,Riley",Out,GLeague-Two-Way Page2of11 Injury/Illness-LeftThumb;Proximal
11/26/2024,07:00(ET),CHI@WAS,San Antonio Spurs,"Sochan,Jeremy",Out,PhalanxSurgery Injury/Illness-LeftKnee;Bone
11/26/2024,07:00(ET),CHI@WAS,San Antonio Spurs,"Vassell,Devin",Out,Bruise/RightFootInjury Management
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Clarkson,Jordan",Out,Injury/Illness-LeftPlantar;Fasciitis Injury/Illness-LeftLowerLeg;
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Filipowski,Kyle",Out,Inflammation
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Hendricks,Taylor",Out,Injury/Illness-RightFibula;Fracture
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Garcia,David",Out,GLeague-Two-Way Injury/Illness-LeftFourthFingerDip;
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Sexton,Collin",Available,Avulsionfracture
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Tshiebwe,Oscar",Out,GLeague-Two-Way
11/26/2024,07:00(ET),CHI@WAS,Utah Jazz,"Williams,Cody",Out,GLeague-OnAssignment
11/26/2024,07:00(ET),CHI@WAS,Los Angeles Lakers,"Davis,Anthony",Probable,Injury/Illness-LeftPlantar;Fasciitis
11/26/2024,07:00(ET),CHI@WAS,Los Angeles Lakers,"Schifino,Jalen",Out,GLeague-OnAssignment
11/26/2024,07:00(ET),CHI@WAS,Los Angeles Lakers,"James,Bronny",Out,Injury/Illness-LeftHeel;Contusion
11/26/2024,07:00(ET),CHI@WAS,Los Angeles Lakers,"Traore,Armel",Out,GLeague-Two-Way Injury/Illness-RightFoot;Surgery
11/26/2024,07:00(ET),CHI@WAS,Los Angeles Lakers,"Vanderbilt,Jarred",Out,Recovery Injury/Illness-LeftKnee;Surgery
11/26/2024,07:00(ET),CHI@WAS,Los Angeles Lakers,"Wood,Christian",Out,Recovery Page3of11
11/26/2024,07:00(ET),CHI@WAS,Phoenix Suns,"Beal,Bradley",Probable,Injury/Illness-LeftCalf;Strain
11/26/2024,07:00(ET),CHI@WAS,Phoenix Suns,"Durant,Kevin",Probable,Injury/Illness-LeftCalf;Strain
11/26/2024,07:00(ET),CHI@WAS,Phoenix Suns,"Gillespie,Collin",Out,Injury/Illness-RightAnkle;Fracture
11/27/2024,07:00(ET),ATL@CLE,Atlanta Hawks,"Gueye,Mouhamed",Out,GLeague-OnAssignment
11/27/2024,07:00(ET),ATL@CLE,Atlanta Hawks,"Lundy,Seth",Out,GLeague-Two-Way
11/27/2024,07:00(ET),ATL@CLE,Atlanta Hawks,"Wallace,Keaton",Out,GLeague-Two-Way Injury/Illness-RightAchilles;
11/27/2024,07:00(ET),ATL@CLE,Atlanta Hawks,"Young,Trae",Questionable,Tendinitis
11/27/2024,07:00(ET),ATL@CLE,Atlanta Hawks,"Zeller,Cody",Out,NotWithTeam
11/27/2024,07:00(ET),ATL@CLE,Cleveland Cavaliers,"Bates,Emoni",Out,GLeague-Two-Way Injury/Illness-LeftKnee;Injury
11/27/2024,07:00(ET),ATL@CLE,Cleveland Cavaliers,"Vert,Caris",Out,Management
11/27/2024,07:00(ET),ATL@CLE,Cleveland Cavaliers,"Strus,Max",Out,Injury/Illness-RightAnkle;Sprain
11/27/2024,07:00(ET),ATL@CLE,Cleveland Cavaliers,"Wade,Dean",Out,Injury/Illness-LeftAnkle;Sprain CHI@ORL ChicagoBulls NOTYETSUBMITTED
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Banchero,Paolo",Out,Injury/Illness-RightOblique;Torn
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Harris,Gary",Out,Injury/Illness-LeftHamstring;Strain
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Clung,Mac",Out,GLeague-Two-Way
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Queen,Trevelin",Out,GLeague-Two-Way Page4of11 HOU@PHI HoustonRockets NOTYETSUBMITTED Injury/Illness-LeftKnee;Injury
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Embiid,Joel",Out,Management Injury/Illness-LeftKnee;LeftKnee
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"George,Paul",Out,BoneBruise
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Lowry,Kyle",Out,Injury/Illness-RightHip;Strain
11/27/2024,07:00(ET),ATL@CLE,Orlando Magic,"Martin,Caleb",Questionable,Injury/Illness-UpperBack;Soreness Injury/Illness-LeftKnee;Injury
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Bamba,Mo",Questionable,Recovery
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Brown,Kobe",Questionable,Injury/Illness-Back;Soreness
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Christie,Cam",Out,GLeague-OnAssignment
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Flowers,Trentyn",Out,GLeague-Two-Way Injury/Illness-RightKnee;Injury
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Leonard,Kawhi",Out,Recovery
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Powell,Norman",Questionable,Injury/Illness-LeftHamstring;Strain
11/27/2024,07:00(ET),ATL@CLE,LA Clippers,"Tucker,P.J.",Out,NotWithTeam WashingtonWizards NOTYETSUBMITTED MIA@CHA MiamiHeat NOTYETSUBMITTED Injury/Illness-RightKnee;Bone
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Bridges,Miles",Out,Bruise
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Jeffries,DaQuan",Out,Injury/Illness-RightHand;Fracture Page5of11 Injury/Illness-LowBack;
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Mann,Tre",Out,Inflammation
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Rhoden,Jared",Out,GLeague-Two-Way Injury/Illness-RightFirstRib;
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Richards,Nick",Out,Fracture
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Williams,Grant",Out,Injury/Illness-RightACL;Tear Injury/Illness-LeftFoot;Tendon
11/27/2024,07:00(ET),ATL@CLE,Charlotte Hornets,"Williams,Mark",Out,Strain Injury/Illness-RightIndexFinger;
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Ayton,Deandre",Questionable,Deepcontusion
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Clingan,Donovan",Out,Injury/Illness-LeftKnee;Sprain
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Grant,Jerami",Doubtful,Injury/Illness-LeftKnee;Sprain
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Henderson,Scoot",Questionable,Injury/Illness-Back;Strain
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Gowens,Bryce",Questionable,GLeague-Two-Way
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Murray,Kris",Questionable,Injury/Illness-Sternum;Bruised
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"Thybulle,Matisse",Out,Injury/Illness-RightAnkle;Sprain
11/27/2024,07:00(ET),ATL@CLE,Portland Trail Blazers,"WilliamsIII,Robert",Out,ConcussionProtocol
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Furphy,Johnny",Questionable,Injury/Illness-LeftAnkle;Sprain Injury/Illness-RightAchillesTendon;
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Jackson,Isaiah",Out,Tear Injury/Illness-LeftKnee;
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Nembhard,Andrew",Out,PatellofemoralInflammation Page6of11
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Nesmith,Aaron",Out,Injury/Illness-LeftAnkle;Sprain
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Newton,Tristen",Questionable,GLeague-Two-Way
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Sheppard,Ben",Out,Injury/Illness-LeftOblique;Strain Injury/Illness-LeftAchillesTendon;
11/27/2024,07:00(ET),ATL@CLE,Indiana Pacers,"Wiseman,James",Out,Tear Injury/Illness-LeftHamstring;
11/27/2024,07:00(ET),ATL@CLE,New York Knicks,"Achiuwa,Precious",Out,Strained
11/27/2024,07:00(ET),ATL@CLE,New York Knicks,"BuieIII,Boo",Out,GLeague-Two-Way
11/27/2024,07:00(ET),ATL@CLE,New York Knicks,"McCullarJr.,Kevin",Out,GLeague-Two-Way
11/27/2024,07:00(ET),ATL@CLE,New York Knicks,"Robinson,Mitchell",Out,Injury/Illness-LeftAnkle;Surgery
